['8496.HK', -0.01699029126213592]
['8612.HK', -0.016458519179304194]
['8616.HK', -0.01550802139037433]
['8491.HK', -0.014952153110047847]
['8631.HK', -0.014285714285714287]
['8402.HK', -0.01415204678362573]
['8057.HK', -0.012737544940934771]
['8422.HK', -0.011916583912611719]
['8619.HK', -0.011741953308468021]
['8291.HK', -0.01111111111111111]
['8365.HK', -0.011019283746556474]
['8427.HK', -0.011010101010101012]
['8039.HK', -0.010697475395806589]
['8603.HK', -0.010570824524312896]
['8160.HK', -0.009874986868368529]
['8521.HK', -0.0096875]
['8056.HK', -0.009615384615384618]
['8188.HK', -0.009613375130616508]
['8460.HK', -0.009285714285714286]
['2938.HK', -0.009259259259259267]
['8341.HK', -0.009137426900584795]
['8480.HK', -0.008585164835164834]
['8429.HK', -0.008447043534762833]
['0381.HK', -0.008437500000000002]
['8413.HK', -0.008381924198250729]
['8620.HK', -0.008359133126934986]
['8509.HK', -0.008223140495867769]
['8073.HK', -0.008199708454810495]
['8537.HK', -0.008166409861325115]
['8351.HK', -0.007851239669421486]
['8351.HK', -0.007851239669421486]
['8337.HK', -0.007792207792207793]
['1636.HK', -0.007570442142777592]
['8321.HK', -0.007412587412587414]
['1360.HK', -0.007402954311233253]
['8621.HK', -0.007336655592469546]
['8456.HK', -0.007309941520467836]
['0007.HK', -0.007242166424569413]
['3082.HK', -0.007206160038895988]
['8283.HK', -0.00715514275885793]
['3055.HK', -0.007084422224747188]
['0997.HK', -0.006898954703832752]
['8163.HK', -0.006823461091753775]
['8163.HK', -0.006823461091753775]
['8193.HK', -0.006820403447969431]
['8193.HK', -0.006820403447969431]
['8547.HK', -0.006802721088435376]
['1076.HK', -0.00672834314550042]
['0526.HK', -0.006644584964368163]
['1616.HK', -0.006634893935146248]
['8623.HK', -0.006535947712418306]
['0508.HK', -0.0065214555888874395]
['8370.HK', -0.00641025641025641]
['8510.HK', -0.006296992481203008]
['8041.HK', -0.006296032311712996]
['8041.HK', -0.006296032311712996]
['0112.HK', -0.006272263980501441]
['8417.HK', -0.006191950464396286]
['8431.HK', -0.006060606060606061]
['8481.HK', -0.005952380952380952]
['0851.HK', -0.005901639344262296]
['0589.HK', -0.005846662989520132]
['0632.HK', -0.005798421372191864]
['8527.HK', -0.005609284332688587]
['0812.HK', -0.005599973012178254]
['8050.HK', -0.005594405594405594]
['8232.HK', -0.005575757575757576]
['8126.HK', -0.00554016620498615]
['0509.HK', -0.005538617886178862]
['8066.HK', -0.005503512880562061]
['8066.HK', -0.005503512880562061]
['1226.HK', -0.005430327868852458]
['8416.HK', -0.005378657487091223]
['8140.HK', -0.005336289726533629]
['8140.HK', -0.005336289726533629]
['8052.HK', -0.0053088803088803095]
['8659.HK', -0.005291005291005295]
['0745.HK', -0.005245901639344262]
['0061.HK', -0.005214482487209761]
['8242.HK', -0.005197920831667333]
['8242.HK', -0.005197920831667333]
['0660.HK', -0.005149051490514905]
['0145.HK', -0.005137587822014052]
['8178.HK', -0.005136612021857924]
['8178.HK', -0.005136612021857924]
['8482.HK', -0.005093378607809847]
['0601.HK', -0.0050210282379194926]
['8135.HK', -0.004978354978354978]
['1315.HK', -0.00497659522049766]
['8213.HK', -0.004821600771456123]
['8213.HK', -0.004821600771456123]
['8103.HK', -0.0047866571930743045]
['8103.HK', -0.0047866571930743045]
['8320.HK', -0.0047514619883040924]
['8007.HK', -0.0046875]
['8007.HK', -0.0046875]
['8086.HK', -0.004674796747967479]
['8086.HK', -0.004674796747967479]
